Prompt,Response
Write a function to flatten the list of lists into a single set of numbers.,"Example:

flatten([[1, 2, 3], [4, 5, 6], [7, 8, 9]])

returns [1, 2, 3, 4, 5, 6, 7, 8, 9]

flatten([[1, 2, 3], [4, 5, 6], [7, 8, 9], [10, 11, 12]])

returns [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]

flatten([[1, 2, 3], [4, 5, 6], [7, 8, 9], [10, 11, 12], [13, 14, 15]])

returns [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]

flatten([[1, 2, 3], [4, 5, 6], [7, 8, 9], [10, 11, 12], [13, 14, 15], [16, 17, 18]])

returns [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]

flatten([[1, 2, 3], [4, 5, 6], [7, 8, 9], [10, 11, 12], [13, 14, 15], [16, 17, 18], [19, 20, 21]])

returns [1, 2, 3, 4, 5, 6, 7, 8, 9,"
Write a function to sort a list of elements.,"Example:

Input: [1, 2, 3, 4, 5]

Output: [5, 4, 3, 2, 1]

Input: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]

Output: [10, 9, 8, 7, 6, 5, 4, 3, 2, 1]

Input: [10, 9, 8, 7, 6, 5, 4, 3, 2, 1]

Output: [10, 9, 8, 7, 6, 5, 4, 3, 2, 1]

Input: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]

Output: [20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]

Input: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]

Output: [25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4"
Write a function to count number items that are identical in the same position of three given lists.,"Examples
count_same_ends([1, 2, 3], [5, 2, 3], [5, 2, 3]) ➞ 2

count_same_ends([1, 2], [5, 2], [5, 2]) ➞ 2

count_same_ends([1, 2, 2], [5, 2, 2], [5, 2, 2]) ➞ 3
Notes
Lists will be of same length.
""""""


def count_same_ends(lst1, lst2, lst3):
    return sum(1 for i in range(len(lst1)) if lst1[i] == lst2[i] == lst3[i])


print(count_same_ends([1, 2, 3], [5, 2, 3], [5, 2, 3]))
print(count_same_ends([1, 2], [5, 2], [5, 2]))
print(count_same_ends([1, 2, 2], [5, 2, 2], [5, 2, 2]))"
Write a function to find number of lists present in the given tuple.,"Input:

tuple1 = (1, 2, 3, 4, 5, 6, 7, 8, 9, 10)

Output:

Number of lists present in the tuple: 1"
Write a python function to find the maximum difference between any two elements in a given array.,"Input:

[1, 2, 90, 10, 110]

Output:

109

Explanation:

Maximum difference is between 90 and 110"
"Write a function that returns integers x and y that satisfy ax + by = n as a tuple, or return None if no solution exists.","Examples:

solve(2, 1, 5) ➞ (2, 5)
solve(4, 1, 19) ➞ (4, 4)
solve(22, 1, 88) ➞ (22, 4)
solve(3, 1, 7) ➞ None
Notes:

x and y will be integers.
a, b and n will be between 1 and 1000000000."
Write a function to remove all elements from a given list present in another list.,"Example:

Input:

list1 = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]

list2 = [2, 4, 6, 8]

Output:

[1, 3, 5, 7, 9, 10]

""""""


def remove_elements(list1, list2):
    return [x for x in list1 if x not in list2]


print(remove_elements([1, 2, 3, 4, 5, 6, 7, 8, 9, 10], [2, 4, 6, 8]))"
"Write a function to calculate the sum (n - 2*i) from i=0 to n // 2, for instance n + (n-2) + (n-4)... (until n-x =< 0).","Example:

sum(4) // returns 3
sum(5) // returns 5
sum(6) // returns 7
sum(7) // returns 9
sum(8) // returns 11
sum(9) // returns 13
sum(10) // returns 15
sum(11) // returns 17
sum(12) // returns 19
sum(13) // returns 21
sum(14) // returns 23
sum(15) // returns 25
sum(16) // returns 27
sum(17) // returns 29
sum(18) // returns 31
sum(19) // returns 33
sum(20) // returns 35
sum(21) // returns 37
sum(22) // returns 39
sum(23) // returns 41
sum(24) // returns 43
sum(25) // returns 45
sum(26) // returns 47
sum(27) // returns 49
sum(28) // returns 51
sum(29) // returns 53
sum(30) // returns 55
sum(31) // returns 57
sum(32) // returns 59
sum(33) // returns 61
sum(34) // returns 63
sum(35) // returns 65
sum(36) // returns 67
sum(37) // returns 69
sum(38) // returns 71
sum(39) // returns 73
sum(40) // returns 75
sum(41) // returns 77
sum(42) // returns 79
sum(43) // returns 81
sum(44) // returns 83
sum(45) // returns 85
sum(46) // returns 87
sum(47) // returns 89
sum(48) // returns 91
sum(49) // returns 93
sum(50) // returns 95"
Write a function to calculate the area of a regular polygon given the length and number of its sides.,"The formula for the area of a regular polygon is:

area = (n * s^2) / (4 * tan(pi/n))

where n is the number of sides, s is the length of each side, and tan is the tangent function.

The function should return the area as a floating-point number.

Examples

polygonArea(6, 4) ➞ 25.19911411182522

polygonArea(7, 3) ➞ 17.524

polygonArea(20, 6) ➞ 157.49

Notes

    n and s will be integers.
    Round your answer to the nearest tenth.
    If you get stuck on a challenge, find help in the Resources tab.
    If you're really stuck, unlock solutions in the Solutions tab.

*/

#include <stdio.h>
#include <math.h>

double polygonArea(int n, int s)
{
    double area = (n * s * s) / (4 * tan(M_PI / n));
    return round(area * 10) / 10;
}

int main()
{
    printf(""%f\n"", polygonArea(6, 4));
    printf(""%f\n"", polygonArea(7, 3));
    printf(""%f\n"", polygonArea(20, 6));
    return 0;
}"
Write a function to determine if the sum of the divisors of two integers are the same.,"Example:

If the two integers are 6 and 28, then the divisors of 6 are: 1, 2, 3, 6

and the divisors of 28 are: 1, 2, 4, 7, 14, 28

The sum of the divisors of 6 is 16 and the sum of the divisors of 28 is 56.

Therefore, the result is true."
Write a function to count the number of characters in a string that occur at the same position in the string as in the English alphabet (case insensitive).,"Examples

""abcdefghijklmnopqrstuvwxyz"" ➞ 26

""abccdefghijklmnopqrstuvwxyz"" ➞ 26

""abcdefghijklmnopqrstuvwxyzA"" ➞ 27

""abcdefghijklmnopqrstuvwxyzAB"" ➞ 28

""abcdefghijklmnopqrstuvwxyzABC"" ➞ 29

""abcdefghijklmnopqrstuvwxyzABCD"" ➞ 30

""abcdefghijklmnopqrstuvwxyzABCDE"" ➞ 31

""abcdefghijklmnopqrstuvwxyzABCDEF"" ➞ 32

""abcdefghijklmnopqrstuvwxyzABCDEFG"" ➞ 33

""abcdefghijklmnopqrstuvwxyzABCDEFGH"" ➞ 34

""abcdefghijklmnopqrstuvwxyzABCDEFGHI"" ➞ 35

""abcdefghijklmnopqrstuvwxyzABCDEFGHIJ"" ➞ 36

""abcdefghijklmnopqrstuvwxyzABCDEFGHIJK"" ➞ 37

""abcdefghijklmnopqrstuvwxyzABCDEFGHIJKL"" ➞ 38

""abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLM"" ➞ 39

""abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMN"" ➞ 40

""abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNO"" ➞ 41

""abcdefghijklmnop"
Write a function that counts the number of pairs of integers in a list that xor to an even number.,"Examples
count_evens([1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) ➞ 5

count_evens([1, 3, 5, 7, 9]) ➞ 0

count_evens([2, 4, 6, 8, 10]) ➞ 10

count_evens([2, 2, 2, 2, 2, 2, 2, 2, 2, 2]) ➞ 10
Notes
N/A"
Write a python function to find the smallest power of 2 greater than or equal to n.,"Example:

Input: 12
Output: 16

Input: 17
Output: 32"
Write a function to count the number of occurrences of a number in a given list.,"Example:

Input: [1, 2, 2, 3, 3, 3, 4, 4, 4, 4]

Output: {1: 1, 2: 2, 3: 3, 4: 4}


def count_occurrences(numbers):
    count = {}
    for num in numbers:
        if num in count:
            count[num] += 1
        else:
            count[num] = 1
    return count

numbers = [1, 2, 2, 3, 3, 3, 4, 4, 4, 4]
print(count_occurrences(numbers))"
Write a function to find the sum of numbers in a list within a range specified by two indices.,"Example

For lst = [1, 3, 5, 6, 10, 2, 3, 15], start = 2, and end = 4, the output should be
sumInRange(lst, start, end) = 14.

Input/Output

[execution time limit] 4 seconds (py3)

[input] array.integer lst

A list of integers.

Guaranteed constraints:
1 ≤ lst.length ≤ 105,
-100 ≤ lst[i] ≤ 100.

[input] integer start

An integer that represents the start of the range.

Guaranteed constraints:
0 ≤ start ≤ lst.length - 1.

[input] integer end

An integer that represents the end of the range.

Guaranteed constraints:
start ≤ end ≤ lst.length - 1.

[output] integer

The sum of the elements of lst within the given range."
Write a function to find the perimeter of a regular pentagon from the length of its sides.,
Write a function to count the number of occurence of the string 'std' in a given string.,"Example:

std_count('std_count_std') -> 2
std_count('std_count_std_std') -> 3
std_count('std') -> 1"
Write a function to check if all the elements in tuple have same data type or not.,"Input:

tuple1 = (1, 2, 3, 4, 5)

Output:

True

Explanation:

All the elements in tuple1 are of same data type.

Input:

tuple1 = (1, 2, 3, 4, 5, ""6"")

Output:

False

Explanation:

All the elements in tuple1 are not of same data type."
"Write a function that takes in a sorted array, its length (n), and an element and returns whether the element is the majority element in the given sorted array. (The majority element is the element that occurs more than n/2 times.)","Sample Input
array = [1, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 6]
n = 20
element = 5
Sample Output
true"
Write a python function to count the number of set bits (binary digits with value 1) in a given number.,"Input:

The first line of input contains an integer T denoting the number of test cases.
The first line of each test case is N.

Output:

Print the count of set bits in the given number.

Constraints:

1 ≤ T ≤ 100
1 ≤ N ≤ 1000

Example:

Input:
2
6
11

Output:
2
3

Explanation:
Testcase 1: The binary representation of the given number is 110111 when we do bitwise & of 6 and 1 we get 110111 so the count of the set bit is 2."
Write a python function to remove the characters which have odd index values of a given string.,"Sample String : 'abcdef'
Expected Result : 'ace'


def remove_odd_index(string):
    return string[::2]

print(remove_odd_index('abcdef'))"
Write a function to find minimum of three numbers.,
Write a python function to check whether all the bits are unset in the given range or not.,"Input:

n = 10

l = 1

r = 5

Output:

True

Explanation:

Binary representation of 10 is 1010.

All the bits are unset in the given range.

Input:

n = 15

l = 1

r = 5

Output:

False

Explanation:

Binary representation of 15 is 1111.

All the bits are set in the given range."
"Write a function that takes in an array and an integer n, and re-arranges the first n elements of the given array so that all negative elements appear before positive ones, and where the relative order among negative and positive elements is preserved.","Example:

Input: [1, -2, 3, -4, 5, -6, 7, -8, 9, 10], 5
Output: [1, -2, -4, -6, -8, 3, 5, 7, 9, 10]"
"Write a function that takes in a string and character, replaces blank spaces in the string with the character, and returns the string.","Examples
replaceBlank(""hello world"", ""*"") ➞ ""hello*world""

replaceBlank(""a b c d"", ""."") ➞ ""a.b.c.d""

replaceBlank(""string"", ""+"") ➞ ""string""

Notes
All test cases will have a valid character."
Write a function that takes in a list and an integer n and returns a list containing the n largest items from the list.,"Example:

largest(list, 2) = [10, 9]

largest(list, 3) = [10, 9, 8]

largest(list, 4) = [10, 9, 8, 7]

largest(list, 5) = [10, 9, 8, 7, 6]

largest(list, 6) = [10, 9, 8, 7, 6, 5]

largest(list, 7) = [10, 9, 8, 7, 6, 5, 4]

largest(list, 8) = [10, 9, 8, 7, 6, 5, 4, 3]

largest(list, 9) = [10, 9, 8, 7, 6, 5, 4, 3, 2]

largest(list, 10) = [10, 9, 8, 7, 6, 5, 4, 3, 2, 1]

largest(list, 11) = [10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]

largest(list, 12) = [10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0, -1]

largest(list, 13) = [10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0, -1, -2]

largest(list, 14) = [10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0, -1, -2, -3]

largest(list, 15) = [10, 9, 8, 7, 6, 5, 4,"
Write a function to find the lateral surface area of a cylinder.,"The function should take in the radius and height as arguments and return the LSA.

LSA = (2 * pi * radius * height) + (2 * pi * radius^2)

Examples:

cylinderLSA(2, 3) ➞ 75.4

cylinderLSA(1, 1) ➞ 12.57

cylinderLSA(7, 2) ➞ 301.52
Notes:

Use the following constant values:

pi = 3.1415926535897932384626433832795
Round to the nearest hundredth."
Write a function to find the volume of a cube given its side length.,
Write a python function to set all even bits of a given number.,"Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:

Input:"
Write a function that takes in a list of tuples and returns a dictionary mapping each unique tuple to the number of times it occurs in the list.,"Example:

Input: [(1, 2), (2, 3), (1, 2), (3, 4), (1, 2)]
Output: {(1, 2): 3, (2, 3): 1, (3, 4): 1}"
Write a python function to count the number of non-empty substrings of a given string.,"Input string: w3resource

Expected output: 55


def count_substring(str1):
    count = 0
    for i in range(len(str1)):
        for j in range(i, len(str1)):
            count += 1
    return count

print(count_substring(""w3resource""))"
"Write a function that takes in positive integers m and n and finds the number of possible sequences of length n, such that each element is a positive integer and is greater than or equal to twice the previous element but less than or equal to m.","For example, if m = 10 and n = 4, the function should return 8, because there are 8 possible sequences:

[2, 4, 6, 8]
[2, 4, 6, 10]
[2, 4, 8, 10]
[2, 6, 8, 10]
[4, 6, 8, 10]
[2, 4, 6, 9]
[2, 4, 8, 9]
[2, 6, 8, 9]"
Write a function that takes in two lists and replaces the last element of the first list with the elements of the second list.,"Example:

list1 = [1, 2, 3, 4, 5]
list2 = [6, 7, 8, 9, 10]

replace_last(list1, list2)

print(list1)

Output: [1, 2, 3, 4, 6, 7, 8, 9, 10]"
Write a function to count the total number of characters in a string.,"Example:

Input: “The quick brown fox jumps over the lazy dog.”

Output: 43

*/

function countCharacters(str) {
  let count = 0;
  for (let i = 0; i < str.length; i++) {
    count++;
  }
  return count;
}

console.log(countCharacters(""The quick brown fox jumps over the lazy dog.""));"
Write a python function to find the next perfect square greater than a given number.,"If the given number is not a perfect square then -1 should be returned.

You may assume the number is non-negative.

NextPerfectSquare(121) --> 144

NextPerfectSquare(625) --> 676

NextPerfectSquare(114) --> -1 since 114 is not a perfect"
"Write a function that takes an array and finds the maximum sum of a bitonic subsequence for the given array, where a sequence is bitonic if it is first increasing and then decreasing.","A bitonic sequence is a sequence of numbers that is first strictly increasing and then strictly decreasing.

Example 1:

Input: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]
Output: 21
Explanation: The bitonic sequence is [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]

Example 2:

Input: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]
Output: 21
Explanation: The bitonic sequence is [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]

Example 3:

Input: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
Output: 30
Explanation: The bitonic sequence is [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0, 1, 2, 3, 4, 5, 6, 7,"
Write a function for computing square roots using the babylonian method.,"The babylonian method is a way to quickly calculate square roots. The basic idea is to start with an initial guess, and then improve the guess by calculating the average of the guess and the quotient of the number and the guess.

For example, if we want to calculate the square root of 13, we can start with a guess of 6. The average of 6 and 13/6 is 8.4, so we guess again with 8.4. The average of 8.4 and 13/8.4 is 9.02, so we guess again with 9.02. The average of 9.02 and 13/9.02 is 9.00013, which is pretty close to the actual square root of 13.

Write a function babylonian(num) that takes a number and returns the square root of the number using babylonian method.

Examples
babylonian(100) ➞ 10

babylonian(8) ➞ 2.8284271247461903

babylonian(64) ➞ 8

Notes
    The tests will include very large numbers.
    The babylonian method is infamous for being slow, so the tests will be very high.
    Round the result to the nearest decimal place.

*/

#include <assert.h>
#include <stdio.h>
#include <stdlib.h>
#include <math.h>

double babylonian(double num) {
	// your code goes here
	double guess = 1.0;
	double quotient = num / guess;
	double average = (guess + quotient) / 2.0;
	while (fabs(average - guess) > 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000"
Write a function to find the length of the longest palindromic subsequence in the given string.,"Input:

The first line of input contains an integer T denoting the number of test cases.
The first line of each test case is S.

Output:

Print the length of the longest palindromic subsequence for each test case in a new line.

Constraints:

1 ≤ T ≤ 100
1 ≤ |S| ≤ 1000

Example:

Input:
2
bbabcbcab
bbbab

Output:
7
4

Explanation:
Testcase 1: Subsequence ""bcbabcb"" is the longest subsequence which is also a palindrome."
Write a function that takes in an integer n and calculates the harmonic sum of n-1.,"The harmonic sum is the sum of reciprocals of the positive integers. It is defined as follows:

n = 1
1

n = 2
1 + 1/2

n = 3
1 + 1/2 + 1/3

n = 4
1 + 1/2 + 1/3 + 1/4

etc.

The return value should be a float representing the sum returned with 3 decimal places.

Examples
harmonicSum(1) ➞ 1.000

harmonicSum(2) ➞ 1.500

harmonicSum(4) ➞ 2.083

harmonicSum(10) ➞ 2.929

Notes
N/A"
Write a function to find the intersection of two arrays.,
Write a python function that takes in a tuple and an element and counts the occcurences of the element in the tuple.,"Sample Input:

tuple1 = (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100)

element = 10

Sample Output:

1"
"Write a function that takes in a list and an element and inserts the element before each element in the list, and returns the resulting list.","Examples
insertBefore([1, 2, 3], 4) ➞ [4, 4, 4, 1, 2, 3]

insertBefore([2, 3, 4], 1) ➞ [1, 2, 3, 4]

insertBefore([2, 3, 4], 1) ➞ [1, 2, 3, 4]

insertBefore([2, 3, 4], 1) ➞ [1, 2, 3, 4]

insertBefore([2, 3, 4], 1) ➞ [1, 2, 3, 4]

insertBefore([2, 3, 4], 1) ➞ [1, 2, 3, 4]

insertBefore([2, 3, 4], 1) ➞ [1, 2, 3, 4]

insertBefore([2, 3, 4], 1) ➞ [1, 2, 3, 4]

insertBefore([2, 3, 4], 1) ➞ [1, 2, 3, 4]

insertBefore([2, 3, 4], 1) ➞ [1, 2, 3, 4]

insertBefore([2, 3, 4], 1) ➞ [1, 2, 3, 4]

insertBefore([2, 3, 4], 1) ➞ [1, 2, 3, 4]

insertBefore([2, 3, 4], 1) ➞ [1, 2, 3, 4]

insertBefore([2, 3, 4], 1) ➞ [1, 2, 3, 4]

insertBefore([2, 3, 4], 1) ➞ [1, 2, 3, 4]

insertBefore([2, 3, 4], 1) ➞ [1,"
Write a python function to convert complex numbers to polar coordinates.,
Write a python function that returns the number of integer elements in a given list.,"Sample Input
[1, 2, 3, 4, 5]

Sample Output
5

Explanation
The function should return the number of elements in the list."
"Write a function that takes in a list and length n, and generates all combinations (with repetition) of the elements of the list and returns a list with a tuple for each combination.","Example:

list = [1, 2, 3]
n = 2

combinations(list, n)

Output:

[(1, 1), (1, 2), (1, 3), (2, 1), (2, 2), (2, 3), (3, 1), (3, 2), (3, 3)]"
Write a python function that takes in a non-negative number and returns the number of prime numbers less than the given non-negative number.,"Example:

Input: 10
Output: 4
Explanation: There are 4 prime numbers less than 10, they are 2, 3, 5, 7"
Write a function that takes in two numbers and returns a tuple with the second number and then the first number.,"Examples

first_last([1, 2, 3, 4]) ➞ (4, 1)

first_last([80, 3, 6, 10, 2]) ➞ (2, 80)

first_last([-5, 100]) ➞ (100, -5)

first_last([5, 5]) ➞ (5, 5)

Notes

N/A"
Write a function to maximize the given two tuples.,"Input:

tuple1 = (1, 2, 3, 4, 5)

tuple2 = (6, 7, 8, 9, 10)

Output:

(6, 7, 8, 9, 10)

Explanation:

tuple2 has the maximum sum of elements."
Write a function to find the nth newman–shanks–williams prime number.,"The newman–shanks–williams prime number is a prime number that is the sum of two consecutive composite numbers.

For example, 5 = (2+3) and 11 = (3+5) are the first two newman–shanks–williams prime numbers.

The function should return the nth newman–shanks–williams prime number.

Examples

newmanShanksWilliams(1) ➞ 5

newmanShanksWilliams(2) ➞ 11

newmanShanksWilliams(3) ➞ 17

newmanShanksWilliams(4) ➞ 29

newmanShanksWilliams(5) ➞ 41

newmanShanksWilliams(6) ➞ 53

newmanShanksWilliams(7) ➞ 71

newmanShanksWilliams(8) ➞ 97

newmanShanksWilliams(9) ➞ 127

newmanShanksWilliams(10) ➞ 157

newmanShanksWilliams(11) ➞ 191

newmanShanksWilliams(12) ➞ 229

newmanShanksWilliams(13) ➞ 271

newmanShanksWilliams(14) ➞ 317

newmanShanksWilliams(15) ➞ 367

newmanShanksWilliams(16) ➞ 421

newmanShanksWilliams(17) ➞ 479

newmanShanksWilliams(18) ➞ 541

newmanShanksWilliams(19) ➞ 607

newmanShanksWilliams(20) ➞ 677

newmanShanksWilliams(21) ➞ 751

newmanShanksWilliams(22) ➞ 829"
Write a function that takes in two tuples and performs mathematical division operation element-wise across the given tuples.,"Example:

Input:

tuple1 = (1, 2, 3, 4, 5)

tuple2 = (1, 2, 3, 4, 5)

Output:

(1, 1, 1, 1, 1)

Explanation:

(1, 2, 3, 4, 5) / (1, 2, 3, 4, 5) = (1, 1, 1, 1, 1)"
"Write a function that takes in a list and an integer L and splits the given list into two parts where the length of the first part of the list is L, and returns the resulting lists in a tuple.","If the given list is empty, return an empty tuple.

If the given list does not have enough elements to split into two parts, return the original list in a tuple with an empty list.

If the given integer L is negative or zero, return an empty tuple.

Examples
split_into_two_parts([1, 2, 3, 4, 5], 2) ➞ ([1, 2], [3, 4, 5])

split_into_two_parts([1, 2, 3, 4, 5], 3) ➞ ([1, 2, 3], [4, 5])

split_into_two_parts([1, 2, 3, 4, 5], 4) ➞ ([1, 2, 3, 4], [5])

split_into_two_parts([1, 2, 3, 4, 5], 10) ➞ ([1, 2, 3, 4, 5], [])

split_into_two_parts([], 3) ➞ ([], [])

split_into_two_parts([1, 2, 3, 4, 5], -1) ➞ ([], [])
Notes
Do not hardcode the tuple (e.g. return ([1, 2], [3, 4, 5]) directly)."
Write a function to calculate a dog's age in dog's years.,"The function should accept one argument: dog's age in human years. The function should return the dog's age in dog's years.

The conversion from human to dog years is:

The first two years of a dog's life count as 10.5 dog years each.
Each year following equates to 4 dog years."
"Write a function that takes in a list and an integer n and splits a list for every nth element, returning a list of the resulting lists.","Examples
split_into_chunks([1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 3) ➞ [[1, 2, 3], [4, 5, 6], [7, 8, 9], [10]]

split_into_chunks([1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 5) ➞ [[1, 2, 3, 4, 5], [6, 7, 8, 9, 10]]

split_into_chunks([1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 1) ➞ [[1], [2], [3], [4], [5], [6], [7], [8], [9], [10]]

split_into_chunks([1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 0) ➞ []
Notes
Your function should work with negative n as well.
If n is greater than the number of elements in the list, return a list with the original list inside it.
If n is 0, return an empty list."
Write a function to find the lateral surface area of a cube given its side length.,
Write a python function that takes in an integer n and returns the sum of the squares of the first n odd natural numbers.,"Sample Input
5
Sample Output
35
Explanation
The first 5 odd natural numbers are 1, 3, 5, 7, 9.
The square of each of these numbers is 1, 9, 25, 49, 81.
The sum of these squares is 35."
Write a function to find the n'th star number.,"The star number is the sum of the factorial of each digit in the number.

Example

Given 1, return 1

Given 12, return 2

Given 135, return 1

Note

Assume n < 2^31

Challenge

Can you do it in O(log(n)) time complexity?

Tags Expand 
Math Recursion"
Write a function to find the ascii value of a character.,
Write a python function to find the sum of even numbers at even positions of a list.,"Input:

[1,2,3,4,5,6,7,8,9]

Output:

20

Explanation:

2+4+6+8=20"
Write a python function that takes in an integer n and finds the sum of the first n even natural numbers that are raised to the fifth power.,"Sample Input:

10

Sample Output:

10000000000

Explanation:

10000000000 = 1^5 + 2^5 + 3^5 + 4^5 + 5^5 + 6^5 + 7^5 + 8^5 + 9^5 + 10^5"
Write a function that takes in a list of tuples and returns a list containing the rear element of each tuple.,"Examples
get_second_elements([(1, 2), (3, 4), (5, 6)]) ➞ [2, 4, 6]

get_second_elements([(5, 6, 7), (8, 9, 10), (11, 12, 13)]) ➞ [6, 9, 12]

get_second_elements([(1, 2, 3, 4), (5, 6, 7, 8), (9, 10, 11, 12)]) ➞ [2, 6, 10]
Notes
Remember to return a list."
Write a function that takes in two tuples and subtracts the elements of the first tuple by the elements of the second tuple with the same index.,"Example:

Input:

tuple1 = (1, 2, 3, 4, 5)
tuple2 = (1, 2, 3, 4, 5)
Output:

(0, 0, 0, 0, 0)"
Write a python function that takes in a positive integer n and finds the sum of even index binomial coefficients.,"Example:

Input: 3
Output: 2
Explanation: 

The binomial coefficients are: 1, 3, 3, 1.
The sum of even index binomial coefficients is 2."
Write a function that takes in the radius and height of a cylinder and returns the the volume.,
Write a function that takes in a dictionary and integer n and filters the dictionary to only include entries with values greater than or equal to n.,"Examples
filter_dict({'a': 1, 'b': 2, 'c': 3}, 2) ➞ { 'b': 2, 'c': 3 }

filter_dict({'a': 1, 'b': 2, 'c': 3}, 3) ➞ { 'c': 3 }

filter_dict({'a': 1, 'b': 2, 'c': 3}, 4) ➞ {}

Notes
Return an empty dictionary if n is greater than all values in the dictionary."
Write a function to find the number of elements that occurs before the tuple element in the given tuple.,"Input Format:

The first line of input contains the tuple.

Output Format:

The output displays the number of elements that occurs before the tuple element.

Sample Input:

(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100)

Sample Output:

100

Explanation:

The number of elements that occurs before the tuple element is 100."
Write a function to find the nth decagonal number.,
Write a function that takes in an array and element and returns a tuple containing a boolean that indicates if the element is in the array and the index position of the element (or -1 if the element is not found).,"Examples

find_element([1, 2, 3, 4, 5], 5) ➞ (True, 4)

find_element([1, 2, 3, 4, 5], 10) ➞ (False, -1)

find_element([1, 2, 3, 4, 5], 4) ➞ (True, 3)

Notes

The function should return a tuple."
